65,2.638,256.861
71,2.702,251.472
81,2.485,181.261
91,1.755,195.805
101,0.815,279.120
111,1.225,305.626
121,2.302,241.435
131,2.695,137.853
141,2.408,119.484
151,1.474,225.092
161,0.945,351.309
171,1.704,381.897
181,2.387,353.059
191,2.746,290.237
201,2.832,252.872
211,2.829,147.067
221,2.487,176.220
231,1.369,234.031
241,0.794,255.837
251,1.964,197.696
261,2.732,93.324
271,2.418,80.657
281,1.520,210.424
291,0.732,283.011
301,1.525,284.556
311,2.592,254.056
321,2.829,181.527
331,2.828,99.582
341,2.835,121.468
351,2.161,214.329
361,0.654,305.040
371,1.491,280.181
381,2.960,147.751
391,2.927,50.707
401,2.241,232.486
411,1.005,339.300
421,1.127,329.162
431,2.515,300.765
441,2.829,208.977
451,2.829,87.280
461,2.829,75.482
471,2.829,153.765
481,2.299,233.579
491,0.570,304.741
501,2.001,264.589
511,3.027,147.547
521,3.021,74.183
531,2.595,169.421
541,1.417,278.472
551,1.064,307.528
561,2.422,299.139
571,2.829,203.690
581,2.830,89.879
591,2.829,37.835
601,2.828,114.749
611,2.796,179.934
621,1.999,257.275
631,0.783,299.074
641,2.262,242.186
651,3.004,136.146
661,3.025,69.823
671,2.842,166.637
681,1.446,275.226
691,0.555,318.816
701,2.216,319.125
711,2.836,257.217
721,2.838,144.049
731,2.835,40.333
741,2.832,87.518
751,2.828,164.933
761,2.448,226.706
771,1.208,279.782
781,1.276,276.923
791,2.670,201.747
801,3.069,92.675
811,3.039,99.813
821,2.496,218.498
831,0.826,304.733
841,1.120,331.214
851,2.709,318.984
861,2.866,237.898
871,2.868,106.990
881,2.861,49.515
891,2.852,143.717
901,2.842,224.408
911,2.485,293.716
921,1.074,345.945
931,2.167,312.839
941,3.045,202.816
951,3.178,81.618
961,3.120,155.023
971,2.872,306.801
981,1.093,357.518
991,1.421,364.046
1001,2.933,368.693
1011,2.945,251.095
1021,2.939,98.623
1031,2.925,47.204
1041,2.900,165.969
1051,2.881,249.462
1061,2.869,323.508
1071,1.306,356.163
1081,2.117,340.412
1091,3.015,257.213
1101,3.173,104.585
1111,3.130,152.450
1121,2.888,313.695
1131,0.993,359.547
1141,1.595,363.254
1151,2.947,360.049
1161,2.951,221.994
1171,2.936,76.539
1181,2.924,65.349
1191,2.904,187.915
1201,2.894,276.729
1211,2.784,333.191
1221,0.949,355.397
1231,2.262,338.685
1241,3.053,213.630
1251,3.217,55.285
1261,3.158,162.771
1271,2.798,337.477
1281,0.863,357.450
1291,1.881,360.892
1301,2.979,364.837
1311,2.990,229.074
1321,2.992,89.739
1331,2.999,69.182
1341,2.947,196.030
1351,2.927,285.873
1361,2.449,323.540
1371,0.883,346.358
1381,2.275,337.545
1391,3.143,210.642
1401,3.295,58.249
1411,3.176,165.216
1421,2.568,298.633
1431,0.514,353.912
1441,2.106,355.405
1451,2.937,308.526
1461,2.968,178.718
1471,2.969,34.735
1481,2.945,104.756
1491,2.908,216.883
1501,2.886,297.009
1511,1.761,333.705
1521,0.894,342.990
1531,2.424,275.343
1541,3.135,149.635
1551,3.248,42.604
1561,3.111,181.358
1571,2.368,310.584
1581,0.203,354.976
1591,2.311,346.371
1601,2.956,292.813
1611,2.954,169.660
1621,2.961,45.088
1631,2.946,99.404
1641,2.907,205.940
1651,2.886,275.447
1661,1.951,311.733
1671,0.882,321.980
1681,2.323,287.132
1691,3.166,152.443
1701,3.232,54.463
1711,3.073,183.070
1721,2.411,308.907
1731,0.220,351.147
1741,2.294,336.896
1751,2.971,287.727
1761,2.957,155.918
1771,2.938,33.566
1781,2.933,111.778
1791,2.906,216.099
1801,2.742,286.879
1811,1.445,313.362
1821,0.961,294.596
1831,2.398,229.452
1841,3.197,120.425
1851,3.274,77.790
1861,2.881,214.838
1871,1.523,324.476
1881,0.824,350.832
1891,2.740,337.220
1901,3.005,253.779
1911,3.005,118.753
1921,2.997,49.627
1931,2.944,154.440
1941,2.913,249.548
1951,2.718,305.649
1961,1.064,322.295
1971,1.907,331.832
1981,2.801,242.997
1991,3.266,101.946
2001,3.232,107.039
2011,3.027,231.339
2021,1.865,337.851
2031,0.556,353.755
2041,2.807,351.821
2051,2.990,290.956
2061,3.003,150.180
2071,2.996,12.577
2081,2.970,124.338
2091,2.925,240.872
2101,2.825,324.520
2111,0.948,361.439
2121,1.928,356.211
2131,3.116,260.464
2141,3.345,113.746
2151,3.192,148.902
2161,2.971,324.597
2171,1.491,358.327
2181,1.125,356.539
2191,2.975,359.625
2201,3.168,309.213
2211,3.127,162.907
2221,3.111,46.486
2231,3.100,140.286
2241,3.005,262.857
2251,2.943,325.500
2261,1.671,352.116
2271,1.289,356.795
2281,2.764,276.066
2291,3.327,107.354
2301,3.282,105.899
2311,3.019,275.405
2321,1.714,354.810
2331,1.006,357.108
2341,2.902,354.970
2351,3.142,259.343
2361,3.144,129.239
2371,3.085,58.129
2381,3.014,162.077
2391,2.962,271.153
2401,2.597,324.993
2411,0.851,338.741
2421,2.175,298.695
2431,2.977,182.114
2441,3.275,58.231
2451,3.158,144.146
2461,2.725,268.064
2471,0.875,331.516
2481,1.745,351.572
2491,2.892,296.345
2501,3.108,190.542
2511,3.109,91.920
2521,3.049,92.106
2531,2.993,203.802
2541,2.954,299.740
2551,1.928,329.636
2561,0.786,333.399
2571,2.288,279.570
2581,3.213,192.100
2591,3.409,94.539
2601,3.262,191.008
2611,2.692,322.507
2621,0.677,354.891
2631,1.997,355.351
2641,3.142,355.539
2651,3.277,231.692
2661,3.234,100.476
2671,3.198,71.446
2681,3.103,198.540
2691,3.062,297.190
2701,2.527,339.970
2711,0.883,357.941
2721,2.188,342.637
2731,3.135,224.250
2741,3.361,80.796
2751,3.238,149.083
2761,2.695,284.384
2771,0.978,337.525
2781,1.387,353.758
2791,2.896,338.085
2801,3.208,240.139
2811,3.239,123.120
2821,3.183,84.323
2831,3.077,194.387
2841,2.993,298.908
2851,2.062,344.974
2861,0.803,362.169
2871,2.395,292.956
2881,3.209,173.174
2891,3.366,61.936
2901,3.193,189.947
2911,2.489,314.475
2921,0.366,346.678
2931,2.030,353.051
2941,2.950,290.469
2951,3.161,178.358
2961,3.148,65.148
2971,3.128,76.157
2981,3.048,192.962
2991,2.978,292.900
3001,2.313,336.269
3011,0.744,361.002
3021,1.790,316.805
3031,2.770,223.082
3041,3.274,107.574
3051,3.280,112.175
3061,3.010,255.203
3071,1.422,333.313
3081,0.660,344.725
3091,2.503,334.692
3101,3.023,264.919
3111,3.093,158.574
3121,3.089,61.706
3131,3.125,90.520
3141,3.109,215.167
3151,3.091,318.936
3161,2.820,374.295
3171,1.071,367.885
3181,1.651,358.954
3191,3.062,305.240
3201,3.346,139.414
3211,3.308,94.970
3221,3.080,266.584
3231,1.863,344.044
3241,0.734,354.130
3251,2.751,353.766
3261,3.114,275.022
3271,3.138,160.867
3281,3.157,80.072
3291,3.177,152.466
3301,3.098,284.203
3311,3.059,354.105
3321,1.940,370.401
3331,1.624,356.998
3341,3.083,308.450
3351,3.445,186.069
3361,3.464,77.001
3371,3.168,283.427
3381,2.575,354.146
3391,0.629,353.782
3401,2.325,353.879
3411,3.215,338.444
3421,3.276,219.075
3431,3.314,99.610
3441,3.338,105.875
3451,3.274,250.755
3461,3.242,332.774
3471,2.923,358.505
3481,1.288,354.196
3491,2.205,359.660
3501,3.214,296.407
3511,3.464,107.011
3521,3.464,170.528
3531,3.130,318.815
3541,2.103,345.586
