65,1.037,3.280
71,1.037,3.322
81,1.033,3.306
91,1.045,3.264
101,1.040,3.202
111,1.039,3.310
121,1.040,3.263
131,1.039,3.317
141,0.912,12.926
151,1.302,56.626
161,1.131,78.889
171,1.032,37.102
181,1.106,18.864
191,1.054,17.728
201,1.049,26.140
211,1.016,14.796
221,1.011,7.808
231,1.043,5.062
241,1.035,4.217
251,1.047,3.266
261,1.044,3.382
271,1.046,3.318
281,1.040,3.309
291,1.041,3.244
301,1.034,3.216
311,1.040,3.272
321,1.037,3.228
331,1.045,3.381
341,1.038,3.308
351,1.039,3.349
361,1.035,3.285
371,1.037,3.204
381,1.036,3.401
391,1.037,3.310
401,1.038,3.298
411,1.044,3.218
421,1.035,3.458
431,1.035,3.223
441,1.038,3.346
451,1.034,3.055
461,1.041,3.494
471,1.033,3.298
481,1.043,3.132
491,1.037,3.236
501,1.035,3.244
511,1.039,3.309
521,1.039,3.240
531,1.043,3.371
541,1.042,3.178
551,1.041,3.181
561,1.039,3.350
571,1.047,3.376
581,1.038,3.442
591,1.039,3.272
601,1.034,3.285
611,1.036,3.506
621,1.037,3.392
631,1.043,3.306
641,1.041,3.147
651,1.038,3.248
661,1.038,3.541
671,1.044,3.141
681,1.041,3.238
691,1.039,3.312
701,1.041,3.384
711,1.041,3.291
721,1.038,3.220
731,1.038,3.255
741,1.041,3.259
751,1.044,3.219
761,1.042,3.313
771,1.037,3.358
781,1.037,3.286
791,1.042,3.223
801,1.040,3.378
811,1.041,3.313
821,1.040,3.348
831,1.036,3.271
841,1.039,3.496
851,1.041,3.392
861,1.039,3.221
871,1.033,3.396
881,1.038,3.304
891,1.037,3.271
901,1.041,3.239
911,1.045,3.281
921,1.038,3.350
931,1.031,3.294
941,1.040,3.275
951,1.039,3.395
961,1.043,3.160
971,0.874,71.649
981,1.521,97.278
991,0.969,42.382
1001,1.129,44.875
1011,1.074,19.743
1021,1.054,12.729
1031,1.048,13.920
1041,1.119,41.239
1051,0.961,18.463
1061,1.052,4.574
1071,1.039,3.484
1081,1.049,3.509
1091,1.045,3.546
1101,1.038,3.426
1111,1.037,3.572
1121,1.033,3.464
1131,1.031,3.208
1141,1.037,3.431
1151,1.043,3.479
1161,1.042,3.371
1171,1.034,3.357
1181,1.043,3.236
1191,1.035,3.552
1201,1.037,3.342
1211,1.044,3.328
1221,1.042,3.471
1231,1.038,3.358
1241,1.043,3.360
1251,1.037,3.342
1261,1.040,3.338
1271,1.039,3.381
1281,1.037,3.424
1291,1.031,3.331
1301,1.040,3.539
1311,1.041,3.343
1321,1.039,3.432
1331,1.041,3.336
1341,1.037,3.347
1351,1.039,3.303
1361,1.040,3.333
1371,1.042,3.372
1381,1.037,3.306
1391,1.041,3.337
1401,1.043,3.153
1411,1.037,3.382
1421,1.034,3.317
1431,1.036,3.309
1441,1.037,3.359
1451,1.041,3.293
1461,1.034,3.286
1471,1.043,3.313
1481,1.035,3.292
1491,1.041,3.182
1501,1.035,3.347
1511,1.043,3.388
1521,1.035,3.302
1531,1.038,3.381
1541,1.042,3.159
1551,1.044,3.381
1561,1.038,3.285
1571,1.037,3.334
1581,1.033,3.262
1591,1.034,3.302
1601,1.039,3.459
1611,1.034,3.305
1621,1.041,3.240
1631,1.043,3.304
1641,1.039,3.433
1651,1.041,3.369
1661,1.040,3.186
1671,1.035,3.314
1681,1.039,3.218
1691,1.038,3.235
1701,1.042,3.317
1711,1.035,3.116
1721,1.042,3.242
1731,1.039,3.440
1741,1.038,3.285
1751,1.037,3.375
1761,1.036,3.349
1771,1.039,3.398
1781,1.039,3.417
1791,1.035,3.285
1801,1.039,3.328
1811,1.035,3.482
1821,1.036,3.303
1831,1.043,3.201
1841,1.043,3.431
1851,1.038,3.366
1861,1.042,3.305
1871,1.047,3.110
1881,1.036,3.396
1891,1.044,3.460
1901,1.044,3.493
1911,1.034,3.405
1921,1.038,3.282
1931,1.028,15.698
1941,1.173,45.627
1951,1.087,98.768
1961,1.070,39.622
1971,1.077,51.313
1981,1.096,30.663
1991,1.064,20.508
2001,1.055,24.380
2011,1.280,69.447
2021,0.976,29.994
2031,1.045,25.984
2041,1.052,9.417
2051,1.039,4.625
2061,1.053,3.549
2071,1.033,3.533
2081,1.040,3.500
2091,1.039,3.344
2101,1.035,3.334
2111,1.038,3.300
2121,1.042,3.365
2131,1.040,3.542
2141,1.036,3.260
2151,1.043,3.372
2161,1.031,3.303
2171,1.037,3.337
2181,1.039,3.392
2191,1.042,3.361
2201,1.038,3.311
2211,1.035,3.354
2221,1.038,3.302
2231,1.046,3.404
2241,1.041,3.343
2251,1.035,3.204
2261,1.034,3.447
2271,1.039,3.435
2281,1.038,3.385
2291,1.038,3.319
2301,1.039,3.290
2311,1.038,3.240
2321,1.042,3.395
2331,1.040,3.518
2341,1.042,3.339
2351,1.037,3.233
2361,1.033,3.239
2371,1.040,3.327
2381,1.034,3.283
2391,1.033,3.467
2401,1.041,3.201
2411,1.039,3.270
2421,1.045,3.349
2431,1.040,3.426
2441,1.036,3.403
2451,1.038,3.149
2461,1.038,3.325
2471,1.040,3.237
2481,1.037,3.376
2491,1.040,3.416
