acc_rms,acc_var,acc_peak,acc_zcr,gyro_rms,gyro_var,gyro_peak,gyro_zcr,label
0.0016176290641636022,2.3855362176908145e-06,0.003518563902491913,0.16,3.3435889477178966,0.001549802556045281,3.435524909678512,0.0,stationary
0.0016056166849534247,1.97691573345036e-06,0.003871861592406629,0.06,3.2827566387990297,0.0023737379728698904,3.3589380312787296,0.0,stationary
0.0009215916970859743,7.636228494567255e-07,0.0021504885203734807,0.06,3.277227652540339,0.0007367650322072635,3.3342109514771368,0.0,stationary
0.0008106587804907066,5.879048633770695e-07,0.0019490122614668095,0.08,3.2950148539374595,0.0005075190156182203,3.3304338955206387,0.0,stationary
0.0013098135761721666,9.008526071388165e-07,0.002740980532149674,0.1,3.2818071052005733,0.0011462184001683814,3.3418030719584473,0.0,stationary
0.0011891692247397276,7.377605530040999e-07,0.002790296813710414,0.04,3.2745084953884893,0.0005509094740433381,3.3186017805913584,0.0,stationary
0.001369317035254071,1.629446049508814e-06,0.0028215260619746927,0.14,3.268922234264705,0.0009263295917345815,3.3377174686986493,0.0,stationary
0.0015346140147260304,1.930426184488879e-06,0.003689563201478531,0.06,3.3093873998257073,0.00046282571792218604,3.3523275319396526,0.0,stationary
0.0013971052404829595,1.5788416707025062e-06,0.0029027679362183924,0.04,3.274681819123701,0.0007585653534901985,3.325608234555304,0.0,stationary
0.0011209333034479315,1.099740399486557e-06,0.0028907825612506733,0.1,3.255744123607742,0.0007123723379513065,3.2938096338563803,0.0,stationary
0.0012860429783360299,1.5393211991610516e-06,0.002635238887043522,0.1,3.269106507391344,0.0008947086259171649,3.3211178794085043,0.0,stationary
0.0011595812051096853,1.3446228631226648e-06,0.0023253509188322355,0.06,3.2955079658271886,0.0014171782292344887,3.35363862091129,0.0,stationary
0.0012914726250288304,1.5490985534400388e-06,0.002585876511116572,0.1,3.2926235196182967,0.0005875113410310824,3.3539728724274616,0.0,stationary
0.0013516110001740406,1.659416792939704e-06,0.003038626664217345,0.06,3.2809905027707944,0.0007888729405355322,3.3537274510059487,0.0,stationary
0.0015644945004787373,1.3898331563312867e-06,0.003198060514677981,0.06,3.278807757874225,0.0008880290267592306,3.344511875151418,0.0,stationary
0.0019544161871381254,2.1031999560570963e-06,0.004301202588421286,0.1,3.286727598613566,0.0007192951703567434,3.3460173215517837,0.0,stationary
0.0017623564412671021,3.022430115450329e-06,0.003241869348460044,0.08,3.26573773929774,0.0009901577875605437,3.3335974943723423,0.0,stationary
0.0012445494980473457,1.5464850248930927e-06,0.0024050051290651583,0.06,3.2693962164817263,0.0009156276522450203,3.3450319539140945,0.0,stationary
0.0006166380761457065,3.34477199406512e-07,0.001232511997702631,0.1,3.2928287347469167,0.0006686380083666286,3.34669457477182,0.0,stationary
0.001003865096289225,8.518687936616779e-07,0.0024905449472754407,0.14,3.2617404045009573,0.0023024687826050812,3.3456726517334188,0.0,stationary
0.0013221586289295388,1.607701655617031e-06,0.002485376165961044,0.06,3.2907306611588156,0.0005851329221168533,3.3420866426727653,0.0,stationary
0.001531189475612682,2.2334633542081017e-06,0.003317179924327571,0.1,3.273826632663056,0.0011709039680767833,3.325415128295727,0.0,stationary
0.0013597157918579204,1.5625590462009988e-06,0.003141190187507783,0.08,3.286890754438676,0.0006124980143764455,3.3320431959010293,0.0,stationary
0.001055261801946077,1.0848949843474699e-06,0.002562303845851033,0.16,3.272780009623573,0.0006441638912628137,3.3192161597909258,0.0,stationary
0.0012634451435748993,1.514502949064709e-06,0.002359217549624227,0.08,3.2720865377369397,0.0006757629131356519,3.321105070541943,0.0,stationary
0.0007960296307004505,6.119516073351168e-07,0.0016972127540338649,0.1,3.2683988106624344,0.001081795276157178,3.340998699536194,0.0,stationary
0.0010134620224562432,8.253740221895441e-07,0.0020629674247644165,0.12,3.2801983519465794,0.0011506656394565603,3.3535624836933255,0.0,stationary
0.0014651399719188564,2.1428657861043117e-06,0.0025989739870073128,0.12,3.271027572815047,0.0007621670326318072,3.3208964918373787,0.0,stationary
0.0016831902955323267,2.153536365567386e-06,0.003703915602030017,0.12,3.272644855015323,0.0006173663000978717,3.317349944055207,0.0,stationary
0.0011387781536702792,1.289777918164208e-06,0.0023019002031220907,0.14,3.2863265444567347,0.0002864890198634492,3.3144859315552413,0.0,stationary
0.014349163159800548,0.00014937890478262247,0.02939948131453853,0.08,6.029660941832048,2.634153868337936,10.184582460648476,0.0,slow
0.00797813722899605,6.175984506682559e-05,0.016027976653557718,0.1,9.956364540159774,1.1793936890782295,12.433069729293583,0.0,slow
0.007480702873960052,4.469745304776727e-05,0.018297599684535197,0.06,13.337028025115377,2.488941928025059,15.810762225712205,0.0,slow
0.009939497179381451,9.51367441796981e-05,0.02147566907562362,0.08,8.44812465534106,6.681806747018892,12.25058649110706,0.0,slow
0.008321592195417603,5.761315664915042e-05,0.016848674494652684,0.08,9.512626317933455,0.9446525051050666,10.940590206409896,0.0,slow
0.009425558336396222,8.659442747859039e-05,0.021448502523399183,0.1,6.2540784810320655,1.7986295429124144,9.042699186616174,0.0,slow
0.007154771615651224,4.720837826124592e-05,0.01727965828906019,0.08,6.480472583266834,0.5108441989586117,7.9763126800319535,0.0,slow
0.008582258508779653,4.736226064885992e-05,0.01778335114174015,0.06,12.61261400552495,14.318330089286514,18.280052664727332,0.0,slow
0.020026779938241406,0.00030429368046637527,0.05492692292367002,0.06,33.67975356435148,90.74224244793739,51.3584203816513,0.0,slow
0.027302034186348526,0.0002845013765467827,0.04462813472743386,0.04,42.602361862188154,83.61727509831562,52.84414498308329,0.0,slow
0.01162901709780812,0.00013523388539860256,0.028334455858564138,0.12,59.140007431629876,297.29032587553013,79.96723081968129,0.0,slow
0.015594806918918874,0.00017532801502646495,0.028107953897548037,0.02,69.597160139868,282.44056050768546,95.81076380749585,0.0,slow
